time,ask qty,bid qty,bid price,ask price
90536,2753,124,494500.0,495000.0
90539,4614,1864,494500.0,495000.0
90544,2296,1462,494500.0,495000.0
90546,2307,1458,494500.0,495000.0
90549,4812,1778,494500.0,495000.0
90550,7218,2667,494500.0,495000.0
90551,2420,174,494500.0,495000.0
90553,4840,348,494500.0,495000.0
90555,262,444,494000.0,494500.0
90556,262,444,494000.0,494500.0
90558,262,444,494000.0,494500.0
90559,28,412,494000.0,494500.0
90602,28,412,494000.0,494500.0
90604,52,17,494000.0,494500.0
90608,204,492,493500.0,494000.0
90615,332,483,493500.0,494000.0
90619,332,483,493500.0,494000.0
90621,357,397,493500.0,494000.0
90622,357,397,493500.0,494000.0
90624,257,64,493500.0,494000.0
90625,257,64,493500.0,494000.0
90627,260,102,493000.0,494000.0
90631,49,653,492500.0,493000.0
90633,49,653,492500.0,493000.0
90640,3,648,492500.0,493000.0
90645,612,767,492500.0,493000.0
90651,620,751,492500.0,493000.0
90653,724,1082,492500.0,493000.0
90700,734,941,492500.0,493000.0
90705,745,959,492500.0,493000.0
90708,751,948,492500.0,493000.0
90709,1502,1896,492500.0,493000.0
90714,720,470,492500.0,493000.0
90716,756,314,492500.0,493000.0
90720,531,667,492000.0,492500.0
90722,552,369,492000.0,492500.0
90726,1549,63,492000.0,492500.0
90727,1549,63,492000.0,492500.0
90735,636,1116,491500.0,492000.0
90740,1125,380,492000.0,492500.0
90742,1125,380,492000.0,492500.0
90743,1140,307,492000.0,492500.0
90749,1156,251,492000.0,492500.0
90755,2428,484,492000.0,492500.0
90756,1214,242,492000.0,492500.0
90800,1200,52,492000.0,492500.0
90805,1137,86,492000.0,492500.0
90809,1138,61,492000.0,492500.0
90813,1109,53,492000.0,492500.0
90821,1119,333,492000.0,492500.0
90824,1109,627,492000.0,492500.0
90833,1110,625,492000.0,492500.0
90845,1105,614,492000.0,492500.0
90846,1058,626,492000.0,492500.0
90850,1062,518,492000.0,492500.0
90901,1071,476,492000.0,492500.0
90904,1061,616,492000.0,492500.0
90911,1071,588,492000.0,492500.0
90917,1072,523,492000.0,492500.0
90920,1073,403,492000.0,492500.0
90939,1338,423,492000.0,492500.0
90945,1331,372,492000.0,492500.0
90950,1331,370,492000.0,492500.0
91001,2552,774,492000.0,492500.0
91004,1246,346,492000.0,492500.0
91006,1246,346,492000.0,492500.0
91010,1245,187,492000.0,492500.0
91016,1243,160,492000.0,492500.0
91018,1263,80,492000.0,492500.0
91020,1263,80,492000.0,492500.0
91023,1383,31,492000.0,492500.0
91041,198,1514,491500.0,492000.0
91048,140,1512,491500.0,492000.0
91052,160,1512,491500.0,492000.0
91104,273,1209,491500.0,492000.0
91120,546,1203,491500.0,492000.0
91123,665,901,491500.0,492000.0
91131,1315,728,491500.0,492000.0
91136,1327,616,491500.0,492000.0
91138,1019,301,491500.0,492000.0
91140,1019,301,491500.0,492000.0
91142,1970,446,491500.0,492000.0
91143,985,223,491500.0,492000.0
91151,990,343,491500.0,492000.0
91158,1086,334,491500.0,492000.0
91211,1181,293,491500.0,492000.0
91221,1193,366,491500.0,492000.0
91233,1194,410,491500.0,492000.0
91241,1232,368,491500.0,492000.0
91244,1261,270,491500.0,492000.0
91245,1261,270,491500.0,492000.0
91247,1251,42,491500.0,492000.0
91256,52,998,491000.0,491500.0
91257,52,998,491000.0,491500.0
91311,734,1000,491000.0,491500.0
91317,712,989,491000.0,491500.0
91323,572,1936,491000.0,491500.0
91326,575,1936,491000.0,491500.0
91332,477,1937,491000.0,491500.0
91338,432,1960,491000.0,491500.0
91351,509,1652,491000.0,491500.0
91355,512,1433,491000.0,491500.0
91405,1082,1114,491000.0,491500.0
91406,1082,1114,491000.0,491500.0
91412,872,574,491000.0,491500.0
91416,872,439,491000.0,491500.0
91417,872,439,491000.0,491500.0
91419,871,204,491000.0,491500.0
91425,100,295,490500.0,491000.0
91434,489,286,490500.0,491000.0
91437,492,124,490500.0,491000.0
91443,1404,634,490000.0,490500.0
91445,1410,543,490000.0,490500.0
91449,1731,351,490000.0,490500.0
91450,1731,351,490000.0,490500.0
91452,260,3759,489500.0,490000.0
91456,947,3745,489500.0,490000.0
91506,945,3754,489500.0,490000.0
91513,966,3734,489500.0,490000.0
91522,1112,3730,489500.0,490000.0
91523,1306,3574,489500.0,490000.0
91524,1306,3574,489500.0,490000.0
91529,2414,7016,489500.0,490000.0
91532,1830,6988,489500.0,490000.0
91536,1491,7032,489500.0,490000.0
91537,720,3535,489500.0,490000.0
91538,720,3535,489500.0,490000.0
91541,400,6998,489500.0,490000.0
91542,45,3496,489500.0,490000.0
91545,197,10488,489500.0,490000.0
91551,8,28,490000.0,490500.0
91608,77,82,490500.0,491000.0
91621,80,528,490500.0,491000.0
91629,124,498,490500.0,491000.0
91641,536,120,491000.0,491500.0
91655,569,727,491000.0,491500.0
